time,open,high,low,close,成交股數,成交金額,成交筆數,漲跌點數,外資買賣差額
2000-07-25,7984.79,8119.63,7900.39,7900.39,1328405071,62242920122,371799,-163.81,
2000-07-26,7944.9,8113.27,7922.81,7961.54,1529405677,76068115751,426582,61.15,
2000-07-27,7932.86,7959.96,7723.44,7956.28,1590626359,76062209965,432687,-5.26,
2000-07-28,7861.04,8147.79,7861.04,8122.11,2073171432,89720016688,526105,165.83,
2000-07-29,8086.63,8178.74,8069.01,8143.93,1976876469,69560324576,458997,21.82,
2000-07-31,8154.99,8165.12,8068.09,8114.92,1442483000,51361277900,339197,-29.01,
2000-08-01,8171.58,8192.73,7984.65,7984.65,1194648296,46606787712,320407,-130.27,
2000-08-02,7985.83,8044.87,7910.28,7916.85,1397538538,50105699112,345764,-67.8,
2000-08-03,7888.32,7912.4,7736.19,7844.93,1523839837,58333754657,394713,-71.92,
2000-08-04,7881.72,8029.14,7856.6,7925.2,1537510846,69247640542,428892,80.27,
2000-08-05,7926.79,7982.71,7834.13,7841.43,1277198809,51758735170,353583,-83.77,
2000-08-07,7804.0,7809.44,7680.53,7715.99,1198208000,48619368280,328918,-125.44,
2000-08-08,7751.28,7818.67,7670.28,7797.78,1384376572,64041399569,389882,81.79,
2000-08-09,7866.11,8048.14,7866.11,8048.14,2025023025,96996632254,557146,250.36,
2000-08-10,8087.1,8105.63,7988.39,8024.69,1642568623,83570218103,468774,-23.45,
2000-08-11,8012.64,8082.07,7962.05,7974.65,1314986849,63099820058,370111,-50.04,
2000-08-14,7977.42,7982.13,7838.5,7848.87,904350570,40446318295,260538,-125.78,
2000-08-15,7883.84,7913.77,7821.74,7845.69,1018969498,49052452896,297295,-3.18,
2000-08-16,7870.58,8023.17,7870.58,8003.53,1429366836,73722077622,401441,157.84,
2000-08-17,8059.02,8143.25,8000.46,8143.25,1832237123,102575880315,522961,139.72,
2000-08-18,8192.3,8276.24,8175.35,8176.82,2361201525,125597927231,648868,33.57,
2000-08-19,8195.25,8234.73,8145.94,8209.07,1487294205,84558474512,457407,32.25,
2000-08-21,8232.91,8305.67,8216.42,8257.88,1985020000,112332412920,557679,48.81,
2000-08-22,8244.42,8244.42,8086.66,8118.05,1576504868,78911738383,465320,-139.83,
2000-08-24,8162.0,8222.08,8090.18,8098.84,1461109000,81641465780,411154,-19.21,
2000-08-25,8120.96,8142.47,8014.95,8026.32,1366874661,71442090534,393588,-72.52,
2000-08-28,7985.45,7985.45,7842.53,7845.87,1127579973,60352666878,334359,-180.45,
2000-08-29,7769.93,7828.37,7621.13,7817.49,1580629681,80526509287,445427,-28.38,
2000-08-30,7784.74,7809.35,7543.96,7543.96,1673676192,87245415542,480935,-273.53,
2000-08-31,7458.34,7661.73,7440.81,7616.98,1882628435,90457249554,490082,73.02,
2000-09-01,7659.82,7660.9,7381.01,7420.06,1918327054,101054399036,518028,-196.92,
2000-09-02,7442.37,7713.03,7442.37,7707.59,2116163476,113353331053,558976,287.53,
2000-09-04,7758.54,7814.49,7694.71,7803.02,2136048000,121461908210,562251,95.43,
2000-09-05,7829.34,7829.34,7723.14,7785.62,1677511699,90244836362,467101,-17.4,
2000-09-06,7725.01,7758.45,7605.32,7610.78,1562920189,88337988827,455847,-174.84,
2000-09-07,7467.94,7520.17,7418.52,7430.93,1489527666,84607116406,442865,-179.85,
2000-09-08,7457.86,7494.67,7360.5,7367.99,1457601171,72692954986,421641,-62.94,
2000-09-11,7297.78,7379.85,7295.88,7335.2,1062907221,55718707931,314387,-32.79,
2000-09-13,7279.36,7407.78,7153.23,7391.66,1495545147,79510564714,430731,56.46,
2000-09-14,7348.81,7367.27,7149.48,7152.29,1366042369,76358288834,411819,-239.37,
2000-09-15,7160.01,7364.46,7120.31,7155.45,1801023953,96897706914,519595,3.16,
2000-09-16,7096.49,7129.02,7003.6,7053.29,1656035934,79657233210,466993,-102.16,
2000-09-18,6990.48,7026.27,6902.54,6910.14,1530807000,65468266630,392554,-143.15,
2000-09-19,6811.72,6950.04,6712.2,6734.9,2055322655,83156712174,527513,-175.24,
2000-09-20,6843.95,6910.91,6720.34,6880.09,2480533381,104096721142,604742,145.19,
2000-09-21,6818.96,6946.84,6774.47,6920.9,2089712647,73829654510,504745,40.81,
2000-09-22,6737.54,6780.27,6600.1,6612.09,2116000808,75575040137,531739,-308.81,
2000-09-25,6618.16,6726.75,6550.21,6677.46,1912240062,72921028099,478090,65.37,
2000-09-26,6647.94,6780.68,6491.34,6749.03,2227577219,92661200272,569509,71.57,
2000-09-27,6706.45,6840.38,6668.07,6717.04,1921486163,87086937809,534225,-31.99,
2000-09-28,6744.79,6799.62,6564.87,6564.87,1651912225,74418650834,461205,-152.17,
2000-09-29,6571.62,6589.82,6427.12,6432.36,1542427329,65990957881,430970,-132.51,
2000-09-30,6228.86,6292.55,6155.65,6185.14,1736604680,61147685819,465665,-247.22,
2000-10-02,6165.64,6248.12,6014.87,6024.07,1745215000,68146825820,455932,-161.07,
2000-10-03,5943.79,6214.53,5907.04,6143.44,2310743032,89024717122,605118,119.37,
2000-10-04,5989.45,5997.92,5946.95,5997.92,1121649032,25784572725,210188,-145.52,
2000-10-05,5932.79,6047.78,5904.98,6029.65,2259788634,79072208974,502797,31.73,
2000-10-06,6037.54,6367.39,6037.54,6353.67,2711286671,97994365565,633206,324.02,
2000-10-07,6385.39,6425.69,6289.52,6352.03,2435005244,92596840491,619921,-1.64,
2000-10-09,6336.3,6338.52,6203.47,6209.42,1766323000,59711244050,404480,-142.61,
2000-10-11,6070.43,6070.43,6013.53,6040.55,927408959,25054375363,212345,-168.87,
2000-10-12,5850.26,5981.67,5763.81,5805.01,1753076317,57661165304,446985,-235.54,
2000-10-13,5577.86,5876.11,5482.98,5876.11,2415589302,76480843967,578583,71.1,
2000-10-16,6060.44,6161.16,5602.72,5630.95,3020665842,95153219587,675432,-245.16,
2000-10-17,5512.0,5742.68,5512.0,5702.36,2198016084,72760581297,543312,71.41,
2000-10-18,5606.53,5626.74,5427.46,5432.23,1932669744,56954226742,465184,-270.13,
2000-10-19,5261.94,5284.34,5074.44,5081.28,1604535831,37716775682,359862,-350.95,
2000-10-20,5241.57,5407.06,5241.57,5404.78,2143537760,66278784183,499234,323.5,
2000-10-21,5528.36,5599.74,5506.49,5599.74,2494287920,77206813646,583143,194.96,
2000-10-23,5644.73,5718.17,5539.97,5680.95,2269498000,87810425570,563252,81.21,
2000-10-24,5701.15,5933.42,5645.05,5918.63,2972760323,106829126524,737575,237.68,
2000-10-25,5914.37,6035.17,5898.97,6023.78,2930565105,108709846829,741070,105.15,
2000-10-26,5937.22,6011.05,5909.35,5941.85,2647266712,101666305788,688538,-81.93,
2000-10-27,5991.83,6003.38,5805.17,5805.17,2068108126,79920216518,543342,-136.68,
2000-10-30,5644.26,5666.96,5615.9,5659.08,566113330,13229616352,115850,-146.09,
2000-10-31,5530.8,5626.03,5502.67,5544.18,1837995566,64842466283,404923,-114.9,
2000-11-01,5552.3,5570.58,5400.26,5425.02,1207687904,41724409476,262886,-119.16,
2000-11-02,5385.54,5630.01,5381.42,5626.08,2279889676,80335644118,554091,201.06,
2000-11-03,5723.35,5813.44,5663.74,5796.08,2658850361,102903427733,642329,170.0,
